,#,Dátum,Év,Város,Utca,Keresztutca,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport
39,533,2012-03-19,2012,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),gyalogos
40,577,2012-03-26,2012,Budapest VIII. kerďż˝let,Baross,,súlyos sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4893888888889,19.0781444444444,0,1,0,3,POINT (652313.3634972712 238383.57377972204),gyalogos
41,590,2012-03-28,2012,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4898305555556,19.0706055555556,0,0,1,1,POINT (651745.2553734329 238432.48861690404),gyalogos
42,661,2012-04-05,2012,Budapest VIII. kerďż˝let,Hungďż˝ria,Salgďż˝tarjďż˝ni,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),jármű-jármű
43,670,2012-04-06,2012,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,"Egyenes úton szembe haladó járművek ütközése, az egyik résztvevő előz  vagy forgalmi sávot vált","irányváltoztatási, haladási, bekanyarodási hiba",nem a kijelölt forgalmi sávban való közlekedés,45.0371444444444,10.7874805555556,0,0,3,2,POINT (0.23896893626079 144.0263402867131),jármű-jármű
44,700,2012-04-09,2012,Budapest VIII. kerďż˝let,Blaha Lujza,,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4962444444444,19.0704333333333,0,0,1,2,POINT (651732.0782501437 239145.55053422853),gyalogos
45,705,2012-04-11,2012,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),gyalogos
46,719,2012-04-13,2012,Budapest VIII. kerďż˝let,Illďż˝s,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.48686666666669,19.0850388888889,0,1,0,1,POINT (652833.0263527782 238103.3850052834),jármű-jármű
47,725,2012-04-13,2012,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4897694444444,19.1087305555556,0,0,1,4,POINT (654618.1523910619 238427.20496334793),jármű-jármű
48,753,2012-04-17,2012,Budapest VIII. kerďż˝let,Hungďż˝ria,,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,egyéb,"figyelmetlen, gondatlan vezetés",47.4904277777778,19.1087555555556,0,1,0,1,POINT (654619.9799032396 238500.39669250627),jármű-jármű
49,772,2012-04-19,2012,Budapest VIII. kerďż˝let,Bďż˝rkocsis,Jďż˝zsef,súlyos sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4935805555556,19.0710472222222,0,1,0,2,POINT (651778.4171099035 238849.40503939544),jármű-jármű
50,790,2012-04-21,2012,Budapest VIII. kerďż˝let,Jďż˝zsef,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, az egyik jármű BALRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan megfordulás,47.4927416666667,19.0710083333333,0,0,1,3,POINT (651775.5136283527 238756.1405311049),jármű-jármű
51,807,2012-04-23,2012,Budapest VIII. kerďż˝let,Kďż˝bďż˝nyai,,súlyos sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",elsőbbség meg nem adása,gyalogosoknak kijelölt gyalogátkelőhelyen,47.4865083333333,19.1076666666667,0,1,0,1,POINT (654538.2575529236 238064.5896255088),gyalogos
52,817,2012-04-24,2012,Budapest VIII. kerďż˝let,Baross,,könnyű sérüléses,"Azonos irányból érkező járművek ütközése útkereszteződésben, mindkét jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4996111111111,19.0806083333333,0,0,1,2,POINT (652498.5645284301 239520.10524671202),jármű-jármű
53,839,2012-04-26,2012,Budapest VIII. kerďż˝let,Hungďż˝ria,,könnyű sérüléses,"Keresztirányból érkező szembe haladó járművek ütközése, az egyik jármű JOBBRA kanyarodik","irányváltoztatási, haladási, bekanyarodási hiba",a balra kanyarodó jármű vezetője a  szemben egyenesen haladó és jobbra kanyarodó járműnek nem biztosított elsőbbséget,47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),jármű-jármű
54,865,2012-04-28,2012,Budapest VIII. kerďż˝let,Rďż˝kďż˝czi,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,egyéb,"figyelmetlen, gondatlan vezetés",47.4969,19.0699055555556,0,0,1,2,POINT (651692.2927220535 239218.4211599116),jármű-jármű
55,922,2012-05-04,2012,Budapest VIII. kerďż˝let,Fiumei,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4926111111111,19.0876083333333,0,0,1,6,POINT (653026.3375678236 238742.1177923598),jármű-jármű
56,924,2012-05-04,2012,Budapest VIII. kerďż˝let,ďż˝llďż˝i,,könnyű sérüléses,ütközés két jármű egyidejű forgalmi sávváltása közben,"irányváltoztatási, haladási, bekanyarodási hiba",forgalmi sáv szabálytalan változtatása,47.4869472222222,19.0673083333333,0,0,1,2,POINT (651496.8715055173 238111.869005999),jármű-jármű
57,957,2012-05-08,2012,Budapest VIII. kerďż˝let,Szentkirďż˝lyi,,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4946027777778,19.0646777777778,0,0,1,1,POINT (651298.4610701749 238962.93244612616),gyalogos
58,960,2012-05-09,2012,Budapest VIII. kerďż˝let,Fecske,Bďż˝rkocsis,könnyű sérüléses,"Keresztirányból érkező, egyenesen haladó járművek ütközése",elsőbbség meg nem adása,a forgalomba való bekapcsolódáskor,47.4947583333333,19.0750861111111,0,0,1,2,POINT (652082.6997956743 238980.44014475757),jármű-jármű
59,985,2012-05-11,2012,Budapest VIII. kerďż˝let,Kerepesi,Fiumei,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.49953888888889,19.0829416666667,0,0,1,2,POINT (652674.36286374 239512.15057812067),gyalogos
60,990,2012-05-11,2012,Budapest VIII. kerďż˝let,Fiumei,,könnyű sérüléses,Utoléréses ütközés két vagy több mozgásban lévő résztvevővel,"irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4960055555556,19.0839222222222,0,0,3,2,POINT (652748.4162776861 239119.36388455855),jármű-jármű
