Dátum,Év,Város,Kimenetel,Baleset típus,Ok-csoport,Ok,LAT,LON,Meghaltak,Súlyos,Könnyű,Résztvevők száma,geometry,Baleset típus főcsoport,street
2012-03-19,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,gyalogosok hibája,"vigyázatlan, hirtelen lelépés az úttestre",47.4893888888889,19.0781444444444,0,0,1,2,POINT (652313.3634972712 238383.57377972204),gyalogos, Baross utca
2012-03-26,2012,Budapest VIII. kerület,súlyos sérüléses,"A menetirány szerint JOBB oldalon álló, várakozó jármű, egyéb akadály előtt (mögött) áthaladó gyalogos elütése",gyalogosok hibája,"álló jármű vagy oszlop (fa, egyéb akadály) előtt való áthaladás",47.4893888888889,19.0781444444444,0,1,0,3,POINT (652313.3634972712 238383.57377972204),gyalogos, Baross utca
2012-03-28,2012,Budapest VIII. kerület,könnyű sérüléses,Gyalogos elütése útkereszteződésben nem kijelölt gyalogos-átkelőhelyen,elsőbbség meg nem adása,a gyalogosnak kanyarodáskor,47.4898305555556,19.0706055555556,0,0,1,1,POINT (651745.2553734329 238432.48861690404),gyalogos,"['József körút - Baross utca', ' József körút']"
2012-04-05,2012,Budapest VIII. kerület,könnyű sérüléses,"Keresztirányból érkező járművek ütközése, az egyik jármű BALRA  kanyarodik.",egyéb,"rendőr, vagy lámpa jelzésre nem állt  meg",47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),jármű-jármű,['Hungária körút']
2012-04-06,2012,Budapest VIII. kerület,könnyű sérüléses,"Egyenes úton szembe haladó járművek ütközése, az egyik résztvevő előz  vagy forgalmi sávot vált","irányváltoztatási, haladási, bekanyarodási hiba",nem a kijelölt forgalmi sávban való közlekedés,45.0371444444444,10.7874805555556,0,0,3,2,POINT (0.23896893626079 144.0263402867131),jármű-jármű,[]
2012-04-09,2012,Budapest VIII. kerület,könnyű sérüléses,"Gyalogos elütése nem útkereszteződésben, kijelölt gyalogos-átkelőhelyen",gyalogosok hibája,tilos jelzésen való áthaladás,47.4962444444444,19.0704333333333,0,0,1,2,POINT (651732.0782501437 239145.55053422853),gyalogos,0809 - Blaha Lujza tér M (2062)  Blaha Lujza tér
2012-04-11,2012,Budapest VIII. kerület,könnyű sérüléses,"Egyéb, azonos irányba haladó kanyarodó járművek  ütközése.","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4904277777778,19.1087555555556,0,0,1,2,POINT (654619.9799032396 238500.39669250627),gyalogos,Hungária körút
2012-04-13,2012,Budapest VIII. kerület,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,"irányváltoztatási, haladási, bekanyarodási hiba",szabálytalan hátramenet,47.48686666666669,19.0850388888889,0,1,0,1,POINT (652833.0263527782 238103.3850052834),jármű-jármű,[' Illés utca']
2012-04-13,2012,Budapest VIII. kerület,könnyű sérüléses,"Utoléréses baleset két vagy több résztvevővel, az egyik megállt","irányváltoztatási, haladási, bekanyarodási hiba",követés távolság be nem tartása,47.4897694444444,19.1087305555556,0,0,1,4,POINT (654618.1523910619 238427.20496334793),jármű-jármű,"['Hidegkuti Nándor Stadion', ' Hungária körút']"
2012-04-17,2012,Budapest VIII. kerület,súlyos sérüléses,Egyéb közlekedési baleset gyalogossal,egyéb,"figyelmetlen, gondatlan vezetés",47.4904277777778,19.1087555555556,0,1,0,1,POINT (654619.9799032396 238500.39669250627),jármű-jármű,Hungária körút
